"종목명","단축코드"
"보령","003850"
"남양유업","003920"
"남양유업우","003925"
"사조대림","003960"
"롯데정밀화학","004000"
"현대제철","004020"
"SG세계물산","004060"
"신흥","004080"
"한국석유","004090"
"태양금속","004100"
"태양금속우","004105"
"동방","004140"
"한솔홀딩스","004150"
"신세계","004170"
"NPC","004250"
"NPC우","004255"
"남성","004270"
"현대약품","004310"
"세방","004360"
"세방우","004365"
"농심","004370"
"삼익THK","004380"
"서울식품","004410"
"서울식품우","004415"
"송원산업","004430"
"삼일씨엔에스","004440"
"삼화왕관","004450"
"세방전지","004490"
"깨끗한나라","004540"
"깨끗한나라우","004545"
"현대비앤지스틸","004560"
"삼천리","004690"
"조광피혁","004700"
"한솔테크닉스","004710"
"팜젠사이언스","004720"
"써니전자","004770"
"효성","004800"
"덕성","004830"
"덕성우","004835"
"DRB동일","004840"
"티웨이홀딩스","004870"
"동일산업","004890"
"조광페인트","004910"
"씨아이테크","004920"
"한신공영","004960"
"신라교역","004970"
"성신양회","004980"
"성신양회우","004985"
"롯데지주","004990"
"롯데지주우","00499K"
"휴스틸","005010"
"부산주공","005030"
"코스모신소재","005070"
"SGC에너지","005090"
"한창","005110"
"빙그레","005180"
"녹십자홀딩스","005250"
"녹십자홀딩스2우","005257"
"롯데칠성","005300"
"롯데칠성우","005305"
"온타이드","005320"
"모나미","005360"
"현대차","005380"
"현대차우","005385"
"현대차2우B","005387"
"현대차3우B","005389"
"신성통상","005390"
"코스모화학","005420"
"한국공항","005430"
"현대지에프홀딩스","005440"
"POSCO홀딩스","005490"
"삼진제약","005500"
"SPC삼립","005610"
"삼영전자","005680"
"파미셀","005690"
"넥센","005720"
"넥센우","005725"
"크라운해태홀딩스","005740"
"크라운해태홀딩스우","005745"
"대림B&Co","005750"
"신영와코루","005800"
"풍산홀딩스","005810"
"원림","005820"
"DB손해보험","005830"
"에스엘","005850"
"휴니드","005870"
"대한해운","005880"
"삼성전자","005930"
"삼성전자우","005935"
"NH투자증권","005940"
"NH투자증권우","005945"
"이수화학","005950"
"동부건설","005960"
"동부건설우","005965"
"동원산업","006040"
"화승인더","006060"
"사조오양","006090"
"삼아알미늄","006110"
"SK디스커버리","006120"
"SK디스커버리우","006125"
"한국전자홀딩스","006200"
"제주은행","006220"
"LS","006260"
"녹십자","006280"
"대원전선","006340"
"대원전선우","006345"
"GS건설","006360"
"대구백화점","006370"
"카프로","006380"
"한일현대시멘트","006390"
"삼성SDI","006400"
"삼성SDI우","006405"
"인스코비","006490"
"대림통상","006570"
"대한유화","006650"
"삼성공조","006660"
"영풍제지","006740"
"미래에셋증권","006800"
"미래에셋증권우","006805"
"미래에셋증권2우B","00680K"
"AK홀딩스","006840"
"신송홀딩스","006880"
"태경케미컬","006890"
"우성","006980"
"GS리테일","007070"
"일신석재","007110"
"미래아이앤지","007120"
"사조산업","007160"
"벽산","007210"
"한국특강","007280"
"오뚜기","007310"
"DN오토모티브","007340"
"에이프로젠","007460"
"샘표","007540"
"일양약품","007570"
"일양약품우","007575"
"동방아그로","007590"
"선도전기","007610"
"이수페타시스","007660"
"국도화학","007690"
"F&F홀딩스","007700"
"코리아써키트","007810"
"코리아써우","007815"
"코리아써키트2우B","00781K"
"서연","007860"
"TP","007980"
"사조동아원","008040"
"대덕","008060"
"대덕1우","00806K"
"대동전자","008110"
"이건산업","008250"
"NI스틸","008260"
"남선알미늄","008350"
"남선알미우","008355"
"문배철강","008420"
"서흥","008490"
"일정실업","008500"
"윌비스","008600"
"아남전자","008700"
"율촌화학","008730"
"호텔신라","008770"
"호텔신라우","008775"
"금비","008870"
"한미사이언스","008930"
"동양철관","008970"
"KCTC","009070"
"경인전자","009140"
"삼성전기","009150"
"삼성전기우","009155"
"SIMPAC","009160"
"한솔로지스틱스","009180"
"대양금속","009190"
"무림페이퍼","009200"
"한샘","009240"
"신원","009270"
"광동제약","009290"
"참엔지니어링","009310"
"아진전자부품","009320"
"태영건설","009410"
"태영건설우","009415"
"한올바이오파마","009420"
"KC그린홀딩스","009440"
"경동나비엔","009450"
"한창제지","009460"
"삼화전기","009470"
"HD한국조선해양","009540"
"무림P&P","009580"
"모토닉","009680"
"삼정펄프","009770"
"플레이그램","009810"
"한화솔루션","009830"
"한화솔루션우","009835"
"명신산업","009900"
"영원무역홀딩스","009970"
"한국내화","010040"
"OCI홀딩스","010060"
"한국무브넥스","010100"
"LS ELECTRIC","010120"
"고려아연","010130"
"삼성중공업","010140"
"우진아이엔에스","010400"
"한솔PNS","010420"
"에스엠벡셀","010580"
"웰바이오텍","010600"
"HD현대미포","010620"
"진양폴리","010640"
"화천기계","010660"
"화신","010690"
"평화홀딩스","010770"
"아이에스동서","010780"
"퍼스텍","010820"
"S-Oil","010950"
"S-Oil우","010955"
"삼호개발","010960"
"진원생명과학","011000"
"LG이노텍","011070"
"에넥스","011090"
"CJ씨푸드","011150"
"CJ씨푸드1우","011155"
"롯데케미칼","011170"
"HMM","011200"
"현대위아","011210"
"삼화전자","011230"
"태림포장","011280"
"성안머티리얼스","011300"
"유니켐","011330"
"부산산업","011390"
"갤럭시아에스엠","011420"
"한농화성","011500"
"와이투솔루션","011690"
"한신기계","011700"
"현대코퍼레이션","011760"
"금호석유","011780"
"금호석유우","011785"
"SKC","011790"
"STX","011810"
"신성이엔지","011930"
"DB","012030"
"영흥","012160"
"아센디오","012170"
"계양전기","012200"
"계양전기우","012205"
"영화금속","012280"
"경동인베스트","012320"
"현대모비스","012330"
"한화에어로스페이스","012450"
"더존비즈온","012510"
"청호ICT","012600"
"경인양행","012610"
"HDC","012630"
"모나리자","012690"
"에스원","012750"
"대창","012800"
"세우글로벌","013000"
"일성건설","013360"
"화승코퍼레이션","013520"
"디와이","013570"
"계룡건설","013580"
"까뮤이앤씨","013700"
"지엠비코리아","013870"
"지누스","013890"
"한익스프레스","014130"
"대영포장","014160"
"금강공업","014280"
"금강공업우","014285"
"영보화학","014440"
"극동유화","014530"
"태경비케이","014580"
"한솔케미칼","014680"
"사조씨푸드","014710"
"HL D&I","014790"
"동원시스템즈","014820"
"동원시스템즈우","014825"
"유니드","014830"
"성문전자","014910"
"성문전자우","014915"
"인디에프","014990"
"이스타코","015020"
"대창단조","015230"
"에이엔피","015260"
"예스코홀딩스","015360"
"KIB플러그에너지","015590"
"한국전력","015760"
"일진홀딩스","015860"
"태경산업","015890"
"대현","016090"
"삼성증권","016360"
"KG스틸","016380"
"한세예스24홀딩스","016450"
"환인제약","016580"
"신대양제지","016590"
"DB금융투자","016610"
"대성홀딩스","016710"
"두올","016740"
"퍼시스","016800"
"웅진","016880"
"광명전기","017040"
"명문제약","017180"
"우신시스템","017370"
"서울가스","017390"
"수산중공업","017550"
"SK텔레콤","017670"
"현대엘리베이","017800"
"풀무원","017810"
"DS단석","017860"
"광전자","017900"
"E1","017940"
"한국카본","017960"
"애경산업","018250"
"삼성에스디에스","018260"
"조일알미늄","018470"
"동원금속","018500"
"SK가스","018670"
"한온시스템","018880"
"신풍제약","019170"
"신풍제약우","019175"
"티에이치엔","019180"
"세아특수강","019440"
"하이트론","019490"
"대교","019680"
"대교우B","019685"
"한섬","020000"
"키다리스튜디오","020120"
"롯데에너지머티리얼즈","020150"
"아시아나항공","020560"
"일진디스플","020760"
"서원","021050"
"코웨이","021240"
"세원정공","021820"
"포스코DX","022100"
"삼원강재","023000"
"MH에탄올","023150"
"한국종합기술","023350"
"동남합성","023450"
"롯데쇼핑","023530"
"다우기술","023590"
"인지컨트롤스","023800"
"인팩","023810"
"에쓰씨엔지니어링","023960"
"WISCOM","024070"
"디씨엠","024090"
"기업은행","024110"
"콜마홀딩스","024720"
"대원화성","024890"
"덕양산업","024900"
"KPX케미칼","025000"
"SJM홀딩스","025530"
"한국단자","025540"
"미래산업","025560"
"제이준코스메틱","025620"
"한솔홈데코","025750"
"이구산업","025820"
"남해화학","025860"
"한국주강","025890"
"스틱인베스트먼트","026890"
"부국철강","026940"
"동서","026960"
"BGF","027410"
"마니커","027740"
"한국제지","027970"
"삼성E&A","028050"
"동아지질","028100"
"삼성물산","028260"
"삼성물산우B","02826K"
"팬오션","028670"
"케이씨","029460"
"신도리코","029530"
"삼성카드","029780"
"제일기획","030000"
"NICE평가정보","030190"
"KT","030200"
"다올투자증권","030210"
"교보증권","030610"
"동원수산","030720"
"신세계인터내셔날","031430"
"신세계푸드","031440"
"콤텍시스템","031820"
"롯데관광개발","032350"
"황금에스티","032560"
"LG유플러스","032640"
"삼성생명","032830"
"KH 필룩스","033180"
"자화전자","033240"
"체시스","033250"
"유나이티드제약","033270"
"SJG세종","033530"
"KT&G","033780"
"무학","033920"
"두산에너빌리티","034020"
"SBS","034120"
"LG디스플레이","034220"
"파라다이스","034230"
"신세계건설","034300"
"NICE","034310"
"인천도시가스","034590"
"SK","034730"
"SK우","03473K"
"한국토지신탁","034830"
"HS애드","035000"
"백산","035150"
"강원랜드","035250"
"NAVER","035420"
"신세계 I&C","035510"
"카카오","035720"
"콘텐트리중앙","036420"
"한국가스공사","036460"
"SNT홀딩스","036530"
"엔씨소프트","036570"
"팜스코","036580"
"YG PLUS","037270"
"LG헬로비전","037560"
"광주신세계","037710"
"하나투어","039130"
"키움증권","039490"
"HDC랩스","039570"
"상신브레이크","041650"
"한화오션","042660"
"HD현대인프라코어","042670"
"한미반도체","042700"
"주연테크","044380"
"KSS해운","044450"
"코스맥스비티아이","044820"
"대우건설","047040"
"포스코인터내셔널","047050"
"유니온머티리얼","047400"
"한국항공우주","047810"
"동원F&B","049770"
"우진플라임","049800"
"한전KPS","051600"
"진양화학","051630"
"LG생활건강","051900"
"LG생활건강우","051905"
"LG화학","051910"
"LG화학우","051915"
"한전기술","052690"
"스카이라이프","053210"
"한미글로벌","053690"
"테이팩스","055490"
"신한지주","055550"
"현대홈쇼핑","057050"
"포스코스틸리온","058430"
"세아홀딩스","058650"
"다스코","058730"
"KTcs","058850"
"KTis","058860"
"HL홀딩스","060980"
"산일전기","062040"
"종근당바이오","063160"
"현대로템","064350"
"SNT모티브","064960"
"LG전자","066570"
"LG전자우","066575"
"엘앤에프","066970"
"세이브존I&C","067830"
"셀트리온","068270"
"삼성출판사","068290"
"TKG휴켐스","069260"
"대호에이엘","069460"
"대웅제약","069620"
"한세엠케이","069640"
"DSR제강","069730"
"현대백화점","069960"
"모나용평","070960"
"한국금융지주","071050"
"한국금융지주우","071055"
"하이스틸","071090"
"지역난방공사","071320"
"롯데하이마트","071840"
"코아스","071950"
"HD현대마린엔진","071970"
"유엔젤","072130"
"농심홀딩스","072710"
"금호타이어","073240"
"이엔플러스","074610"
"새론오토모티브","075180"
"세진중공업","075580"
"유니퀘스트","077500"
"STX엔진","077970"
"텔코웨어","078000"
"에이블씨엔씨","078520"
"GS","078930"
"GS우","078935"
"CJ CGV","079160"
"현대리바트","079430"
"LIG넥스원","079550"
"전진건설로봇","079900"
"휴비스","079980"
"일진다이아","081000"
"휠라홀딩스","081660"
"동양생명","082640"
"한화엔진","082740"
"그린케미칼","083420"
"대한제강","084010"
"동양고속","084670"
"이월드","084680"
"대상홀딩스","084690"
"대상홀딩스우","084695"
"TBH글로벌","084870"
"엔케이","085310"
"미래에셋생명","085620"
"현대글로비스","086280"
"하나금융지주","086790"
"한화생명","088350"
"진도","088790"
"HDC현대EP","089470"
"제주항공","089590"
"롯데렌탈","089860"
"평화산업","090080"
"노루페인트","090350"
"노루페인트우","090355"
"메타랩스","090370"
"아모레퍼시픽","090430"
"아모레퍼시픽우","090435"
"비에이치","090460"
"세원이앤씨","091090"
"티웨이항공","091810"
"디아이씨","092200"
"KEC","092220"
"KPX홀딩스","092230"
"기신정기","092440"
"동양피스톤","092780"
"넥스틸","092790"
"LF","093050"
"이아이디","093230"
"형지엘리트","093240"
"후성","093370"
"효성ITX","094280"
"AJ네트웍스","095570"
"웅진씽크빅","095720"
"JW홀딩스","096760"
"SK이노베이션","096770"
"SK이노베이션우","096775"
"HJ중공업","097230"
"엠씨넥스","097520"
"CJ제일제당","097950"
"CJ제일제당 우","097955"
"SK오션플랜트","100090"
"비상교육","100220"
"진양홀딩스","100250"
"SNT에너지","100840"
"인바이오젠","101140"
"해태제과식품","101530"
"동성케미컬","102260"
"쌍방울","102280"
"이연제약","102460"
"풍산","103140"
"일진전기","103590"
"한국철강","104700"
"KB금융","105560"
"한세실업","105630"
"우진","105840"
"미원홀딩스","107590"
"LX세미콘","108320"
"LX하우시스","108670"
"LX하우시스우","108675"
"주성코퍼레이션","109070"
"호전실업","111110"
"동인기연","111380"
"영원무역","111770"
"씨에스윈드","112610"
"GKL","114090"
"대성에너지","117580"
"메타케어","118000"
"KC코트렐","119650"
"조선선재","120030"
"코오롱인더","120110"
"코오롱인더우","120115"
"아이마켓코리아","122900"
"한국화장품","123690"
"SJM","123700"
"한국자산신탁","123890"
"현대퓨처넷","126560"
"수산인더스트리","126720"
"대성산업","128820"
"한미약품","128940"
"인터지스","129260"
"한전산업","130660"
"화인베스틸","133820"
"미원화학","134380"
"시디즈","134790"
"선진","136490"
"에스디바이오센서","137310"
"메리츠금융지주","138040"
"코오롱ENP","138490"
"BNK금융지주","138930"
"DGB금융지주","139130"
"이마트","139480"
"아주스틸","139990"
"핸즈코퍼레이션","143210"
"다이나믹디자인","145210"
"덴티움","145720"
"삼양사","145990"
"삼양사우","145995"
"DSR","155660"
"애경케미칼","161000"
"한국타이어앤테크놀로지","161390"
"한국콜마","161890"
"동일고무벨트","163560"
"동아에스티","170900"
"JB금융지주","175330"
"PI첨단소재","178920"
"한진칼","180640"
"한진칼우","18064K"
"NHN","181710"
"아세아시멘트","183190"
"종근당","185750"
"더블유게임즈","192080"
"쿠쿠홀딩스","192400"
"드림텍","192650"
"코스맥스","192820"
"제이에스코퍼레이션","194370"
"해성디에스","195870"
"서연이화","200880"
"HL만도","204320"
"삼성바이오로직스","207940"
"디와이파워","210540"
"SK디앤디","210980"
"한솔제지","213500"
"이노션","214320"
"금호에이치티","214330"
"경보제약","214390"
"토니모리","214420"
"잇츠한불","226320"
"현대코퍼레이션홀딩스","227840"
"LS에코에너지","229640"
"JW생명과학","234080"
"두산밥캣","241560"
"화승엔터프라이즈","241590"
"에이플러스에셋","244920"
"솔루엠","248070"
"샘표식품","248170"
"일동제약","249420"
"넷마블","251270"
"크래프톤","259960"
"크라운제과","264900"
"크라운제과우","26490K"
"HD현대","267250"
"HD현대일렉트릭","267260"
"HD현대건설기계","267270"
"경동도시가스","267290"
"아시아나IDT","267850"
"미원에스씨","268280"
"오리온","271560"
"일진하이솔루스","271940"
"제일약품","271980"
"한화시스템","272210"
"진에어","272450"
"삼양패키징","272550"
"에이피알","278470"
"롯데웰푸드","280360"
"케이씨텍","281820"
"BGF리테일","282330"
"쿠쿠홈시스","284740"
"SK케미칼","285130"
"SK케미칼우","28513K"
"롯데이노베이트","286940"
"하나제약","293480"
"HDC현대산업개발","294870"
"효성화학","298000"
"효성티앤씨","298020"
"효성중공업","298040"
"HS효성첨단소재","298050"
"에어부산","298690"
"한일시멘트","300720"
"SK바이오사이언스","302440"
"세아제강","306200"
"현대오토에버","307950"
"씨티알모빌리티","308170"
"우리금융지주","316140"
"자이에스앤디","317400"
"HD현대에너지솔루션","322000"
"카카오뱅크","323410"
"SK바이오팜","326030"
"HD현대중공업","329180"
"두산퓨얼셀","336260"
"두산퓨얼셀1우","33626K"
"두산퓨얼셀2우B","33626L"
"솔루스첨단소재","336370"
"솔루스첨단소재1우","33637K"
"솔루스첨단소재2우B","33637L"
"교촌에프앤비","339770"
"KCC글라스","344820"
"하이브","352820"
"대덕전자","353200"
"대덕전자1우","35320K"
"SK아이이테크놀로지","361610"
"티와이홀딩스","363280"
"티와이홀딩스우","36328K"
"한컴라이프케어","372910"
"LG에너지솔루션","373220"
"DL이앤씨","375500"
"DL이앤씨우","37550K"
"DL이앤씨2우(전환)","37550L"
"카카오페이","377300"
"바이오노트","377740"
"화승알앤에이","378850"
"케이카","381970"
"F&F","383220"
"LX홀딩스","383800"
"LX홀딩스1우","38380K"
"SK스퀘어","402340"
"쏘카","403550"
"HD현대마린솔루션","443060"
"유니드비티플러스","446070"
"에코프로머티","450080"
"코오롱모빌리티그룹","450140"
"코오롱모빌리티그룹우","45014K"
"한화갤러리아","452260"
"한화갤러리아우","45226K"
"현대그린푸드","453340"
"두산로보틱스","454910"
"OCI","456040"
"이수스페셜티케미컬","457190"
"동국씨엠","460850"
"동국제강","460860"
"조선내화","462520"
"시프트업","462870"
"STX그린로지스","465770"
"SK이터닉스","475150"
"더본코리아","475560"
"엠앤씨솔루션","484870"
"HS효성","487570"
"한화인더스트리얼솔루션즈","489790"
