종목명,단축코드
아모센스,357580
솔브레인,357780
비트나인,357880
지아이이노베이션,358570
씨엔알리서치,359090
탑머티리얼,360070
코셈,360350
제노코,361390
알비더블유,361570
삼영에스앤씨,361670
청담글로벌,362320
드림인사이트,362990
진시스템,363250
모비데이즈,363260
큐라클,365270
에스와이스틸텍,365330
성일하이텍,365340
하이딥,365590
브이씨,365900
공구우먼,366030
플래티어,367000
아이씨에이치,368600
파이버프로,368770
오에스피,368970
블리츠웨이스튜디오,369370
퓨런티어,370090
풍원정밀,371950
윤성에프앤씨,372170
큐로셀,372320
아이티아이즈,372800
엑셀세라퓨틱스,373110
엠아이큐브솔루션,373170
엑스플러스,373200
피코그램,376180
LB루셈,376190
에이치이엠파마,376270
씨유테크,376290
디어유,376300
노을,376930
원티드랩,376980
맥스트,377030
프롬바이오,377220
이지트로닉스,377330
리파인,377450
위니아에이드,377460
마음AI,377480
필에너지,378340
샤페론,378800
옵티코어,380540
제닉스,381620
온코크로스,382150
지아이텍,382480
지앤비에스 에코,382800
원준,382840
범한퓨얼셀,382900
에코프로에이치엔,383310
디티앤씨알오,383930
코어라인소프트,384470
지투파워,388050
유일로보틱스,388720
라이콤,388790
파로스아이바이오,388870
자람테크놀로지,389020
지니너스,389030
포바이포,389140
대명에너지,389260
인벤티지랩,389470
에스비비테크,389500
넥스트바이오메디컬,389650
유디엠텍,389680
코닉오토메이션,391710
토마토시스템,393210
더블유씨피,393890
오픈엣지테크놀로지,394280
쓰리빌리언,394800
넥스트칩,396270
세아메카닉스,396300
워트,396470
에이프릴바이오,397030
가온칩스,399720
코난테크놀로지,402030
그린리소스,402490
우듬지팜,403490
HPSP,403870
플라즈맵,405000
큐알티,405100
나라셀라,405920
하나금융21호스팩,406760
뷰티스킨,406820
꿈비,407400
스튜디오미르,408900
메쎄이상,408920
샌즈랩,411080
레이저쎌,412350
제일엠앤에스,412540
미래에셋비전스팩1호,412930
엠오티,413390
키움제6호스팩,413600
씨피시스템,413630
비아이매트릭스,413640
스튜디오삼익,415380
신성에스티,416180
나노팀,417010
핑거스토리,417180
LS머트리얼즈,417200
제이아이테크,417500
트루엔,417790
저스템,417840
오브젠,417860
모델솔루션,417970
하나금융22호스팩,418170
신한제10호스팩,418210
시큐레터,418250
라온텍,418420
밀리의서재,418470
제이오,418550
이에이트,418620
삼기이브이,419050
엔젯,419080
산돌,419120
SAMG엔터,419530
비스토스,419540
제이투케이바이오,420570
기가비스,420770
엔에이치스팩23호,422040
케이비제21호스팩,424140
벨로크,424760
스마트레이더시스템,424960
마이크로투나노,424980
티이엠씨,425040
삼성스팩6호,425290
티에프이,425420
시지트로닉스,429270
신영스팩8호,430220
한화플러스제3호스팩,430460
한싹,430690
유안타제9호스팩,430700
케이쓰리아이,431190
와이랩,432430
케이엔에스,432470
퀄리타스반도체,432720
키움제7호스팩,433530
모니터랩,434480
유안타제10호스팩,435380
하나금융25호스팩,435620
에스케이증권제8호스팩,435870
삼현,437730
엔에이치스팩24호,437780
엔에이치스팩25호,438580
버넥트,438700
마녀공장,439090
삼성스팩7호,439250
엔에이치스팩26호,439410
블루엠텍,439580
IBKS제20호스팩,439730
파두,440110
HB인베스트먼트,440290
오픈놀,440320
교보13호스팩,440790
엔에이치스팩27호,440820
파인엠텍,441270
유진스팩9호,442130
대신밸런스제14호스팩,442310
IBKS제21호스팩,442770
미래에셋드림스팩1호,442900
레뷰코퍼레이션,443250
에스피소프트,443670
유안타제11호스팩,444920
에이직랜드,445090
퓨릿,445180
비엔케이제1호스팩,445360
큐리옥스바이오시스템즈,445680
신영스팩9호,445970
유안타제12호스팩,446150
미래에셋비전스팩2호,446190
메가터치,446540
하나26호스팩,446750
키움제8호스팩,446840
에코아이,448280
하나27호스팩,448370
코츠테크놀로지,448710
삼성스팩8호,448740
IBKS제22호스팩,448760
미래에셋비전스팩3호,448830
유안타제13호스팩,449020
하이제8호스팩,450050
하스,450330
인스웨이브시스템즈,450520
유안타제14호스팩,450940
아이엠티,451220
삐아,451250
엔에이치스팩29호,451700
컨텍,451760
제이엔비,452160
한빛레이저,452190
민테크,452200
한선엔지니어링,452280
캡스톤파트너스,452300
이닉스,452400
사피엔반도체,452430
상상인제4호스팩,452670
신한제11호스팩,452980
그리드위즈,453450
에이에스텍,453860
하나29호스팩,454640
하나28호스팩,454750
KB제25호스팩,455250
한화플러스제4호스팩,455310
엔젤로보틱스,455900
에스케이증권제9호스팩,455910
아이씨티케이,456010
이엔셀,456070
DB금융스팩11호,456440
교보14호스팩,456490
한켐,457370
대신밸런스제15호스팩,457390
우진엔텍,457550
벡트,457600
대신밸런스제16호스팩,457630
에스케이증권제10호스팩,457940
KB제26호스팩,458320
한국제12호스팩,458610
성우,458650
씨어스테크놀로지,458870
위츠,459100
아이빔테크놀로지,460470
현대힘스,460930
피앤에스미캐닉스,460940
아이엠비디엑스,461030
아이스크림미디어,461300
에이치엠씨제6호스팩,462020
이노스페이스,462350
라메디텍,462510
에스오에스랩,464080
티디에스팜,464280
한국제13호스팩,464440
아이언디바이스,464500
닷밀,464580
KB제27호스팩,464680
교보15호스팩,465320
인스피언,465480
클로봇,466100
사이냅소프트,466410
엔에이치스팩30호,466910
IBKS제23호스팩,467930
삼성스팩9호,468510
유진스팩10호,468760
IBKS제24호스팩,469480
아이비젼웍스,469750
하나30호스팩,469880
하나31호스팩,469900
대신밸런스제17호스팩,471050
셀로맥스사이언스,471820
신영스팩10호,472220
에스케이증권제11호스팩,472230
폰드그룹,472850
에스케이증권제12호스팩,473000
유안타제15호스팩,473050
비엔케이제2호스팩,473370
에스케이증권제13호스팩,473950
노머스,473980
루미르,474170
유안타제16호스팩,474490
RF시스템즈,474610
신한제12호스팩,474660
신한제13호스팩,474930
하나32호스팩,475240
하나33호스팩,475250
씨메스,475400
에이럭스,475580
에스켐,475660
토모큐브,475960
M83,476080
KB제28호스팩,476470
에이치엠씨제7호스팩,477340
미래에셋비전스팩4호,477380
미래에셋비전스팩5호,477470
한국제14호스팩,477530
DB금융스팩12호,477760
이베스트스팩6호,478110
KB제29호스팩,478390
미래에셋비전스팩6호,478440
대신밸런스제18호스팩,478780
한국제15호스팩,479880
엔에이치스팩31호,481890
교보16호스팩,482520
미래에셋비전스팩7호,482680
대신밸런스제19호스팩,482690
하나34호스팩,484130
KB제30호스팩,486630
신한제15호스팩,487830
유진스팩11호,488060
교보17호스팩,489210
키움제11호스팩,489480
디비금융제13호스팩,489730
KB제31호스팩,492220
